X,Y
23,175
74,207
76,46
84,503
106,435
108,352
115,168
128,220
143,29
147,334
140,405
151,224
161,186
167,137
159,392
171,327
174,428
170,202
187,264
193,508
192,388
190,183
195,199
206,471
216,335
213,431
215,499
226,353
249,75
248,223
251,525
253,301
256,119
253,200
274,500
282,524
293,306
307,410
312,368
315,476
314,436
323,177
326,195
332,230
358,51
392,365
399,328
405,67
411,167
441,130
439,63
445,178
457,95
452,213
468,272
477,344
479,149
481,174
489,514
492,384
505,449
520,294
523,512
524,23
526,78
529,400
528,108
531,314
530,372
529,475
531,268
531,159
533,176
140,89
536,214
534,437
398,195
226,447
200,288
503,484
